time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-01 00:00:00+00:00,1302,57.0,44.0,23.168,22.414,23.168,22.414
2021-01-01 00:10:00+00:00,1302,57.2,44.0,18.31,19.008,18.31,19.008
2021-01-01 00:20:00+00:00,1302,57.0,44.0,15.964,15.414,15.964,15.414
2021-01-01 00:30:00+00:00,1302,57.4,44.0,15.792,15.514,15.792,15.514
2021-01-01 00:40:00+00:00,1302,57.8,44.0,15.46,15.136,15.46,15.136
2021-01-01 00:50:00+00:00,1302,57.8,44.0,14.834,14.152,14.834,14.152
2021-01-01 01:00:00+00:00,1302,58.0,44.0,15.808,15.096,15.808,15.096
2021-01-01 01:10:00+00:00,1302,58.0,44.0,17.626,15.794,17.626,15.794
2021-01-01 01:20:00+00:00,1302,58.2,44.0,17.82,16.794,17.82,16.794
2021-01-01 01:30:00+00:00,1302,59.0,43.4,17.804,17.02,17.804,17.02
2021-01-01 01:40:00+00:00,1302,59.0,43.0,16.24,15.602,16.24,15.602
2021-01-01 01:50:00+00:00,1302,59.6,43.0,21.288,20.866,21.288,20.866
2021-01-01 02:00:00+00:00,1302,60.0,43.0,21.48,20.628,21.48,20.628
2021-01-01 02:10:00+00:00,1302,59.2,43.8,20.056,19.752,20.056,19.752
2021-01-01 02:20:00+00:00,1302,59.0,43.6,18.366,17.62,18.366,17.62
2021-01-01 02:30:00+00:00,1302,59.0,44.0,22.296,21.46,22.296,21.46
2021-01-01 02:40:00+00:00,1302,59.0,43.6,28.87,27.064,28.87,27.064
2021-01-01 02:50:00+00:00,1302,59.4,43.0,25.436,24.13,25.436,24.13
2021-01-01 03:00:00+00:00,1302,59.0,43.0,24.442,23.828,24.442,23.828
2021-01-01 03:10:00+00:00,1302,59.6,43.0,28.834,27.412,28.834,27.412
2021-01-01 03:20:00+00:00,1302,59.0,43.0,30.388,29.55,30.392,29.55
2021-01-01 03:30:00+00:00,1302,59.8,43.0,30.628,30.254,30.628,30.254
2021-01-01 03:40:00+00:00,1302,60.0,42.8,30.846,29.28,30.846,29.28
2021-01-01 03:50:00+00:00,1302,60.8,42.0,33.3,31.282,33.358,31.282
2021-01-01 04:00:00+00:00,1302,61.0,42.0,29.972,27.33,29.986,27.33
2021-01-01 04:10:00+00:00,1302,61.0,42.2,30.75,29.388,31.184,29.388
2021-01-01 04:20:00+00:00,1302,61.0,43.0,28.384,27.67,28.444,27.67
2021-01-01 04:30:00+00:00,1302,60.4,43.0,26.338,25.282,26.338,25.282
2021-01-01 04:40:00+00:00,1302,60.0,43.0,28.04,25.954,28.04,25.954
2021-01-01 04:50:00+00:00,1302,60.8,42.2,23.624,22.078,23.624,22.078
2021-01-01 05:00:00+00:00,1302,61.0,42.0,22.262,21.436,22.262,21.436
2021-01-01 05:10:00+00:00,1302,61.0,42.4,22.874,22.16,22.874,22.16
2021-01-01 05:20:00+00:00,1302,61.0,43.0,28.842,27.346,28.842,27.346
2021-01-01 05:30:00+00:00,1302,60.6,43.0,29.5,27.648,29.5,27.648
2021-01-01 05:40:00+00:00,1302,60.8,43.0,31.0,29.88,31.17,29.88
2021-01-01 05:50:00+00:00,1302,60.4,42.8,30.474,30.198,30.474,30.198
2021-01-01 06:00:00+00:00,1302,61.0,42.6,27.274,26.312,27.274,26.312
2021-01-01 06:10:00+00:00,1302,61.6,42.2,25.96,25.974,25.96,25.974
2021-01-01 06:20:00+00:00,1302,61.4,42.2,24.51,22.946,24.51,22.946
2021-01-01 06:30:00+00:00,1302,61.2,42.8,21.716,21.222,21.716,21.222
2021-01-01 06:40:00+00:00,1302,61.4,43.0,22.334,20.92,22.334,20.92
2021-01-01 06:50:00+00:00,1302,61.0,43.0,27.248,26.792,28.006,26.838
2021-01-01 07:00:00+00:00,1302,61.0,43.0,21.536,21.344,21.536,21.344
2021-01-01 07:10:00+00:00,1302,61.0,43.0,20.42,19.24,20.42,19.24
2021-01-01 07:20:00+00:00,1302,61.0,43.0,21.65,19.926,21.65,19.926
2021-01-01 07:30:00+00:00,1302,61.0,43.0,21.146,20.036,21.146,20.036
2021-01-01 07:40:00+00:00,1302,61.0,43.0,19.702,18.762,19.702,18.762
2021-01-01 07:50:00+00:00,1302,61.0,43.0,18.912,18.148,18.912,18.148
2021-01-01 08:00:00+00:00,1302,61.4,42.6,17.9,17.464,17.9,17.464
2021-01-01 08:10:00+00:00,1302,61.4,43.0,17.586,15.866,17.586,15.866
2021-01-01 08:20:00+00:00,1302,60.8,43.0,17.492,16.694,17.492,16.694
2021-01-01 08:30:00+00:00,1302,60.8,43.6,17.656,16.898,17.656,16.898
2021-01-01 08:40:00+00:00,1302,60.0,44.0,19.376,18.902,19.376,18.902
2021-01-01 08:50:00+00:00,1302,60.0,44.0,20.21,18.838,20.21,18.838
2021-01-01 09:00:00+00:00,1302,60.0,44.0,19.344,18.988,19.344,18.988
2021-01-01 09:10:00+00:00,1302,59.8,44.0,19.532,18.706,19.532,18.706
2021-01-01 09:20:00+00:00,1302,60.0,44.0,19.362,18.548,19.362,18.548
2021-01-01 09:30:00+00:00,1302,60.0,44.0,19.62,18.1,19.62,18.1
2021-01-01 09:40:00+00:00,1302,60.0,44.0,18.824,18.258,18.824,18.258
2021-01-01 09:50:00+00:00,1302,60.0,44.0,18.064,17.888,18.064,17.888
2021-01-01 10:00:00+00:00,1302,60.0,43.6,17.186,16.254,17.186,16.254
2021-01-01 10:10:00+00:00,1302,60.2,44.0,17.228,16.352,17.228,16.352
2021-01-01 10:20:00+00:00,1302,60.0,44.0,15.802,15.832,15.802,15.832
2021-01-01 10:30:00+00:00,1302,60.0,44.0,16.592,16.03,16.592,16.03
2021-01-01 10:40:00+00:00,1302,60.0,44.0,15.822,14.844,15.822,14.844
2021-01-01 10:50:00+00:00,1302,60.0,44.0,14.316,13.398,14.316,13.398
2021-01-01 11:00:00+00:00,1302,60.0,44.0,13.506,12.8,13.506,12.8
2021-01-01 11:10:00+00:00,1302,61.0,44.0,14.348,12.718,14.348,12.718
2021-01-01 11:20:00+00:00,1302,61.0,44.0,13.962,13.646,13.962,13.646
2021-01-01 11:30:00+00:00,1302,60.8,44.0,13.096,12.734,13.096,12.734
2021-01-01 11:40:00+00:00,1302,61.0,44.0,14.958,14.03,14.958,14.03
2021-01-01 11:50:00+00:00,1302,61.0,44.0,14.306,13.602,14.306,13.602
2021-01-01 12:00:00+00:00,1302,61.0,44.0,10.196,9.818,10.196,9.818
2021-01-01 12:10:00+00:00,1302,61.2,44.0,7.326,6.88,7.326,6.88
2021-01-01 12:20:00+00:00,1302,61.6,43.8,5.704,4.902,5.704,4.902
2021-01-01 12:30:00+00:00,1302,62.0,43.8,5.77,5.3,5.77,5.3
2021-01-01 12:40:00+00:00,1302,62.0,44.0,5.358,4.584,5.358,4.584
2021-01-01 12:50:00+00:00,1302,62.0,44.0,5.614,4.942,5.614,4.942
2021-01-01 13:00:00+00:00,1302,62.0,43.8,7.786,6.72,7.786,6.72
2021-01-01 13:10:00+00:00,1302,61.8,44.0,14.298,13.282,14.298,13.282
2021-01-01 13:20:00+00:00,1302,62.0,44.0,13.29,11.302,13.29,11.302
2021-01-01 13:30:00+00:00,1302,61.4,44.0,12.244,11.098,12.244,11.098
2021-01-01 13:40:00+00:00,1302,61.2,43.8,12.464,11.274,12.464,11.274
2021-01-01 13:50:00+00:00,1302,62.0,43.0,14.01,11.636,14.01,11.636
2021-01-01 14:00:00+00:00,1302,62.0,43.2,12.578,11.894,12.578,11.894
2021-01-01 14:10:00+00:00,1302,62.0,43.2,12.928,11.8,12.928,11.8
2021-01-01 14:20:00+00:00,1302,62.0,43.0,11.926,10.084,11.926,10.084
2021-01-01 14:30:00+00:00,1302,62.0,43.2,11.114,8.868,11.114,8.868
2021-01-01 14:40:00+00:00,1302,62.0,43.2,9.84,8.95,9.84,8.95
2021-01-01 14:50:00+00:00,1302,62.0,43.6,10.444,8.974,10.444,8.974
2021-01-01 15:00:00+00:00,1302,62.0,43.2,11.254,9.732,11.254,9.732
2021-01-01 15:10:00+00:00,1302,61.8,43.4,9.502,8.506,9.502,8.506
2021-01-01 15:20:00+00:00,1302,62.0,43.8,9.486,8.34,9.486,8.34
2021-01-01 15:30:00+00:00,1302,62.0,43.6,9.234,8.194,9.234,8.194
2021-01-01 15:40:00+00:00,1302,62.0,44.0,9.37,7.64,9.37,7.64
2021-01-01 15:50:00+00:00,1302,61.4,44.0,7.416,6.73,7.416,6.73
2021-01-01 16:00:00+00:00,1302,61.4,44.0,7.368,6.2,7.368,6.2
2021-01-01 16:10:00+00:00,1302,61.8,43.8,6.946,5.778,6.946,5.778
2021-01-01 16:20:00+00:00,1302,62.0,44.0,6.394,5.466,6.394,5.466
2021-01-01 16:30:00+00:00,1302,61.6,44.0,4.81,4.254,4.81,4.254
2021-01-01 16:40:00+00:00,1302,61.8,44.0,4.162,4.364,4.162,4.364
2021-01-01 16:50:00+00:00,1302,61.6,44.0,4.114,3.756,4.114,3.756
2021-01-01 17:00:00+00:00,1302,61.8,44.0,4.278,4.058,4.278,4.058
2021-01-01 17:10:00+00:00,1302,61.8,44.0,8.364,8.274,8.364,8.274
2021-01-01 17:20:00+00:00,1302,61.2,44.2,7.046,6.5,7.046,6.5
2021-01-01 17:30:00+00:00,1302,61.0,44.6,8.898,7.802,8.898,7.802
