time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-01 00:00:00+00:00,1234,54.0,48.8,71.574,74.138,107.614,112.724
2021-01-01 00:10:00+00:00,1234,54.0,49.0,73.96,77.612,112.022,117.876
2021-01-01 00:20:00+00:00,1234,54.0,49.0,79.246,82.642,120.338,125.494
2021-01-01 00:30:00+00:00,1234,54.8,49.0,78.754,81.794,119.684,124.07
2021-01-01 00:40:00+00:00,1234,55.0,49.0,78.452,82.316,119.2,124.816
2021-01-01 00:50:00+00:00,1234,55.0,49.0,79.31,83.24,120.372,126.22
2021-01-01 01:00:00+00:00,1234,55.0,49.0,85.106,89.75,129.12,135.992
2021-01-01 01:10:00+00:00,1234,55.0,48.8,95.898,99.064,145.32,149.982
2021-01-01 01:20:00+00:00,1234,55.0,49.0,112.266,117.138,169.89,177.11
2021-01-01 01:30:00+00:00,1234,55.0,49.0,124.084,129.628,187.718,195.976
2021-01-01 01:40:00+00:00,1234,55.0,48.6,127.13,133.542,192.174,201.772
2021-01-01 01:50:00+00:00,1234,55.0,49.0,122.306,127.934,184.938,193.316
2021-01-01 02:00:00+00:00,1234,55.0,49.0,130.366,136.626,197.016,206.342
2021-01-01 02:10:00+00:00,1234,55.0,49.0,120.928,127.776,182.84,193.078
2021-01-01 02:20:00+00:00,1234,55.0,49.0,113.89,119.002,172.502,180.002
2021-01-01 02:30:00+00:00,1234,55.0,49.0,112.768,117.142,170.734,177.056
2021-01-01 02:40:00+00:00,1234,55.0,49.0,93.464,98.556,141.636,149.142
2021-01-01 02:50:00+00:00,1234,55.0,49.0,76.516,80.548,116.084,122.196
2021-01-01 03:00:00+00:00,1234,55.0,49.0,63.526,64.362,91.672,97.074
2021-01-01 03:10:00+00:00,1234,55.0,49.0,59.718,59.188,81.576,84.218
2021-01-01 03:20:00+00:00,1234,55.0,49.0,54.148,54.514,67.874,72.052
2021-01-01 03:30:00+00:00,1234,55.0,49.0,48.09,48.882,55.778,59.31
2021-01-01 03:40:00+00:00,1234,55.0,49.0,43.0,43.91,47.114,49.852
2021-01-01 03:50:00+00:00,1234,55.0,48.8,40.33,40.156,42.61,43.554
2021-01-01 04:00:00+00:00,1234,55.0,49.0,43.858,44.166,48.594,50.364
2021-01-01 04:10:00+00:00,1234,55.0,49.0,39.342,40.326,42.682,44.91
2021-01-01 04:20:00+00:00,1234,55.0,49.0,26.458,27.902,26.458,27.902
2021-01-01 04:30:00+00:00,1234,55.0,48.8,23.948,26.068,23.948,26.068
2021-01-01 04:40:00+00:00,1234,55.0,49.0,22.986,24.362,22.986,24.362
2021-01-01 04:50:00+00:00,1234,55.0,49.0,21.386,22.972,21.386,22.972
2021-01-01 05:00:00+00:00,1234,55.0,48.8,19.624,21.184,19.624,21.184
2021-01-01 05:10:00+00:00,1234,55.0,48.8,14.958,15.246,14.958,15.246
2021-01-01 05:20:00+00:00,1234,55.0,48.2,11.704,12.964,11.704,12.964
2021-01-01 05:30:00+00:00,1234,55.0,48.0,10.334,9.926,10.334,9.926
2021-01-01 05:40:00+00:00,1234,55.0,48.0,9.876,10.422,9.876,10.422
2021-01-01 05:50:00+00:00,1234,55.0,48.0,10.158,11.49,10.158,11.49
2021-01-01 06:00:00+00:00,1234,55.0,48.0,11.01,11.206,11.01,11.206
2021-01-01 06:10:00+00:00,1234,55.6,48.0,11.736,12.652,11.736,12.652
2021-01-01 06:20:00+00:00,1234,56.0,48.0,11.136,11.654,11.136,11.654
2021-01-01 06:30:00+00:00,1234,56.0,48.0,10.82,12.062,10.82,12.062
2021-01-01 06:40:00+00:00,1234,55.8,46.4,10.478,11.256,10.478,11.256
2021-01-01 06:50:00+00:00,1234,56.0,48.0,11.498,12.076,11.498,12.076
2021-01-01 07:00:00+00:00,1234,56.0,48.0,12.15,13.28,12.15,13.28
2021-01-01 07:10:00+00:00,1234,56.0,47.8,11.628,13.424,11.628,13.424
2021-01-01 07:20:00+00:00,1234,56.0,48.0,12.596,12.6,12.596,12.6
2021-01-01 07:30:00+00:00,1234,56.0,48.2,15.642,16.442,15.642,16.442
2021-01-01 07:40:00+00:00,1234,56.0,48.0,13.87,14.898,13.87,14.898
2021-01-01 07:50:00+00:00,1234,56.0,48.0,10.766,11.74,10.766,11.74
2021-01-01 08:00:00+00:00,1234,56.0,48.0,10.848,12.012,10.848,12.012
