time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-19 12:00:00+00:00,182,60.4,50.2,0.336,1.378,0.336,1.378
2020-12-19 12:10:00+00:00,182,61.6,50.0,0.346,1.022,0.346,1.022
2020-12-19 12:20:00+00:00,182,62.4,50.0,0.302,1.122,0.302,1.122
2020-12-19 12:30:00+00:00,182,63.6,49.8,0.094,0.594,0.094,0.594
2020-12-19 12:40:00+00:00,182,64.8,49.0,0.078,0.272,0.078,0.272
2020-12-19 12:50:00+00:00,182,65.8,48.8,0.104,0.566,0.104,0.566
2020-12-19 13:00:00+00:00,182,66.0,48.8,0.282,0.552,0.282,0.552
2020-12-19 13:10:00+00:00,182,66.6,48.8,0.426,0.834,0.426,0.834
2020-12-19 13:20:00+00:00,182,67.2,49.0,0.346,0.732,0.346,0.732
2020-12-19 13:30:00+00:00,182,68.0,49.0,0.332,0.626,0.332,0.626
2020-12-19 13:40:00+00:00,182,67.8,49.0,0.556,0.698,0.556,0.698
2020-12-19 13:50:00+00:00,182,68.0,49.0,0.592,0.894,0.592,0.894
2020-12-19 14:00:00+00:00,182,68.0,49.4,0.412,1.196,0.412,1.196
2020-12-19 14:10:00+00:00,182,68.0,50.0,0.766,0.732,0.766,0.732
2020-12-19 14:20:00+00:00,182,67.6,50.0,0.566,0.972,0.566,0.972
2020-12-19 14:30:00+00:00,182,67.4,50.0,0.588,1.264,0.588,1.264
2020-12-19 14:40:00+00:00,182,67.2,50.0,0.606,1.812,0.606,1.812
2020-12-19 14:50:00+00:00,182,67.6,50.0,0.694,1.25,0.694,1.25
2020-12-19 15:00:00+00:00,182,68.0,50.0,0.678,1.206,0.678,1.206
2020-12-19 15:10:00+00:00,182,68.0,50.0,0.57,1.598,0.57,1.598
2020-12-19 15:20:00+00:00,182,67.8,50.0,1.842,2.852,1.842,2.852
2020-12-19 15:30:00+00:00,182,67.8,49.8,4.746,6.774,4.746,6.774
2020-12-19 15:40:00+00:00,182,68.0,50.0,29.206,35.168,30.06,36.45
2020-12-19 15:50:00+00:00,182,68.6,49.6,3.65,4.996,3.65,4.996
2020-12-19 16:00:00+00:00,182,68.8,49.6,39.926,46.142,43.29,50.424
2020-12-19 16:10:00+00:00,182,68.2,50.0,16.756,20.52,16.756,20.52
2020-12-19 16:20:00+00:00,182,68.0,50.0,7.032,8.294,7.032,8.294
2020-12-19 16:30:00+00:00,182,68.0,50.0,1.82,2.824,1.82,2.824
2020-12-19 16:40:00+00:00,182,67.4,50.0,1.368,2.174,1.368,2.174
2020-12-19 16:50:00+00:00,182,67.4,50.0,2.412,3.322,2.412,3.322
2020-12-19 17:00:00+00:00,182,67.0,50.0,12.822,15.332,12.822,15.332
2020-12-19 17:10:00+00:00,182,66.8,50.4,13.87,18.418,13.87,18.418
2020-12-19 17:20:00+00:00,182,67.2,50.0,5.436,7.496,5.436,7.496
2020-12-19 17:30:00+00:00,182,67.4,50.0,10.522,12.43,10.522,12.43
2020-12-19 17:40:00+00:00,182,67.0,50.0,3.23,4.958,3.23,4.958
2020-12-19 17:50:00+00:00,182,67.0,51.0,1.978,3.768,1.978,3.768
2020-12-19 18:00:00+00:00,182,67.0,51.0,4.516,6.4,4.516,6.4
2020-12-19 18:10:00+00:00,182,66.2,51.0,2.452,4.766,2.452,4.766
2020-12-19 18:20:00+00:00,182,65.8,51.0,1.946,3.658,1.946,3.658
2020-12-19 18:30:00+00:00,182,65.6,51.0,2.928,4.068,2.928,4.068
2020-12-19 18:40:00+00:00,182,65.2,51.4,2.126,3.464,2.126,3.464
2020-12-19 18:50:00+00:00,182,63.8,51.4,1.752,3.104,1.752,3.104
2020-12-19 19:00:00+00:00,182,62.4,52.0,1.516,2.138,1.516,2.138
2020-12-19 19:10:00+00:00,182,61.6,52.0,1.808,2.632,1.808,2.632
2020-12-19 19:20:00+00:00,182,62.4,52.0,1.832,2.314,1.832,2.314
2020-12-19 19:30:00+00:00,182,63.4,52.0,2.172,2.65,2.172,2.65
2020-12-19 19:40:00+00:00,182,64.0,52.2,2.482,2.896,2.482,2.896
2020-12-19 19:50:00+00:00,182,64.0,52.0,2.854,3.934,2.854,3.934
2020-12-19 20:00:00+00:00,182,64.6,52.2,2.446,2.988,2.446,2.988
2020-12-19 20:10:00+00:00,182,64.6,52.0,1.61,2.266,1.61,2.266
2020-12-19 20:20:00+00:00,182,66.2,51.8,1.934,2.03,1.934,2.03
2020-12-19 20:30:00+00:00,182,67.0,52.0,2.07,3.446,2.07,3.446
2020-12-19 20:40:00+00:00,182,67.6,51.8,1.996,2.806,1.996,2.806
2020-12-19 20:50:00+00:00,182,68.4,51.2,1.252,1.958,1.252,1.958
2020-12-19 21:00:00+00:00,182,69.2,51.0,1.232,1.456,1.232,1.456
2020-12-19 21:10:00+00:00,182,69.4,51.0,1.038,1.312,1.038,1.312
2020-12-19 21:20:00+00:00,182,69.8,51.2,0.912,1.394,0.912,1.394
2020-12-19 21:30:00+00:00,182,70.0,51.0,1.05,1.148,1.05,1.148
2020-12-19 21:40:00+00:00,182,70.0,51.4,1.194,1.614,1.194,1.614
2020-12-19 21:50:00+00:00,182,70.2,51.2,1.264,1.828,1.264,1.828
2020-12-19 22:00:00+00:00,182,70.2,51.0,1.288,1.78,1.288,1.78
2020-12-19 22:10:00+00:00,182,70.2,50.8,1.488,2.226,1.488,2.226
2020-12-19 22:20:00+00:00,182,71.0,51.2,1.708,2.508,1.708,2.508
2020-12-19 22:30:00+00:00,182,70.8,51.0,1.934,2.244,1.934,2.244
2020-12-19 22:40:00+00:00,182,71.0,51.0,1.14,2.464,1.14,2.464
2020-12-19 22:50:00+00:00,182,71.8,50.8,1.106,2.394,1.106,2.394
2020-12-19 23:00:00+00:00,182,71.4,51.4,0.886,1.472,0.886,1.472
2020-12-19 23:10:00+00:00,182,71.0,51.0,0.802,1.262,0.802,1.262
